1940,1757396,7655307536615079936,600
1870,1608721,7655307536596729856,600
1910,1695398,7655307536607215616,600
1660,1200065,7655307536541679616,600
1600,957779,7655307536525950976,600
2190,1984533,7657916720723001344,600
1950,1762930,7655307536617701376,600
1830,1554031,7655307536586244096,600
1910,1676896,7655307536607215616,600
1620,1027747,7655307536531193856,600
1820,1529418,7655307536583622656,600
1390,654343,7655307532175933440,600
1970,1779683,7655307536622944256,600
1350,482352,7655307532165447680,600
1920,1713789,7655307536609837056,600
1400,681497,7655307532178554880,600
2000,1823720,7657916720673193984,600
2050,1854785,7657916720686301184,600
2190,1984674,7657916720723001344,600
2120,1925792,7657916720704651264,600
1640,1121652,7655307536536436736,600
1910,1696828,7655307536607215616,600
1950,1759988,7655307536617701376,600
1970,1779889,7655307536622944256,600
1630,1988393,7655307536533815297,600
1900,1644728,7655307536604594176,600
1760,1437547,7655307536567894016,600
1620,1043749,7655307536531193856,600
1910,1671123,7655307536607215616,600
1910,1678534,7655307536607215616,600
1930,1745630,7655307536612458496,600
2020,1818842,7657916720678436864,600
2080,1902192,7657916720694165505,600
2140,1947537,7657916720709894146,600
1960,1769831,7655307536620322816,600
1930,1740870,7655307536612458496,600
2070,1876178,7657916720691544065,600
1930,1745635,7655307536612458496,600
1910,1704036,7655307536607215616,600
1460,732623,7655307532194283520,600
1560,823478,7655307532220497920,600
2080,1889740,7657916720694165505,600
1980,1789377,7657916720667951104,600
2080,1881988,7657916720694165505,600
2020,1826420,7657916720678436864,600
1400,670703,7655307532178554880,600
1910,1672152,7655307536607215616,600
1920,1710906,7655307536609837056,600
1960,1771161,7655307536620322816,600
1530,785934,7655307532212633618,600
1900,1655037,7655307536604594176,600
1910,1704155,7655307536607215616,600
1350,503914,7655307532165447680,600
1440,719661,7655307532189040640,600
1510,760621,7655307532207390822,600
1910,1691108,7655307536607215616,600
1620,1033409,7655307536531193856,600
1510,739670,7655307532207390822,600
1680,1292282,7655307536546922496,600
2170,1961304,7657916720717758467,600
1550,811852,7655307532217876480,600
1460,727569,7655307532194283520,600
1460,723667,7655307532194283520,600
1900,1663966,7655307536604594176,600
1780,1462693,7655307536573136896,600
1420,685930,7655307532183797761,600
1580,1510821,7655307536520708096,600
1510,765217,7655307532207390822,600
1740,1782192,7655307536562651136,600
1780,1462878,7655307536573136896,600
1270,251902,7655307532144476160,600
1550,1862721,7655307532217876480,600
1170,702670,7655307532118261760,600
1660,1215338,7655307536541679616,600
1840,1571229,7655307536588865536,600
1910,1673341,7655307536607215616,600
1390,641790,7655307532175933440,600
1940,1753316,7655307536615079936,600
1580,867274,7655307536520708096,600
1460,728022,7655307532194283520,600
1600,970282,7655307536525950976,600
1890,1632916,7655307536601972736,600
1990,1793288,7657916720670572544,600
1950,1759993,7655307536617701376,600
1890,1638246,7655307536601972736,600
1590,923044,7655307536523329536,600
1920,1710552,7655307536609837056,600
1620,1039010,7655307536531193856,600
2240,2038172,7657916720736108546,600
2080,1882551,7657916720694165505,600
1530,794061,7655307532212633618,600
1950,1765394,7655307536617701376,600
1900,1652607,7655307536604594176,600
2110,1910540,7657916720702029824,600
1910,1692898,7655307536607215616,600
2110,1899851,7657916720702029824,600
2180,1994568,7657916720720379904,600
2140,1940448,7657916720709894146,600
1790,1475989,7655307536575758336,600
1660,1195575,7655307536541679616,600
1900,1656603,7655307536604594176,600
1620,1029492,7655307536531193856,600
1910,1686142,7655307536607215616,600
2180,1993992,7657916720720379904,600
1990,1796243,7657916720670572544,600
1980,1785688,7657916720667951104,600
1930,1730119,7655307536612458496,600
1940,1755607,7655307536615079936,600
1910,1695044,7655307536607215616,600
1870,1616724,7655307536596729856,600
1530,787007,7655307532212633618,600
1630,1090678,7655307536533815297,600
1420,681908,7655307532183797761,600
1950,1762649,7655307536617701376,600
1760,1426736,7655307536567894016,600
1970,1778934,7655307536622944256,600
1900,1660753,7655307536604594176,600
1910,1701426,7655307536607215616,600
1400,658791,7655307532178554880,600
1570,844467,7655307536518086656,600
1910,1700644,7655307536607215616,600
1850,1586101,7655307536591486976,600
1910,1687265,7655307536607215616,600
2000,1808269,7657916720673193984,600
1900,1648769,7655307536604594176,600
1720,1376585,7655307536557408256,600
1420,684185,7655307532183797761,600
1910,1704334,7655307536607215616,600
1390,639579,7655307532175933440,600
1860,1596812,7655307536594108416,600
2050,1843440,7657916720686301184,600
1510,756364,7655307532207390822,600
1460,735630,7655307532194283520,600
1420,683597,7655307532183797761,600
1400,980651,7655307532178554880,600
1840,1557388,7655307536588865536,600
2170,1956427,7657916720717758467,600
2020,1819202,7657916720678436864,600
1270,254069,7655307532144476160,600
1910,1670961,7655307536607215616,600
1620,1049340,7655307536531193856,600
1930,1728267,7655307536612458496,600
1940,1752093,7655307536615079936,600
1610,992027,7655307536528572416,600
1660,1213167,7655307536541679616,600
1920,1710124,7655307536609837056,600
1510,739188,7655307532207390822,600
1400,677117,7655307532178554880,600
1310,439718,7655307532154961920,600
1660,1217937,7655307536541679616,600
2060,1875482,7657916720688922624,600
1920,1718005,7655307536609837056,600
1940,1756372,7655307536615079936,600
1620,1047801,7655307536531193856,600
1850,1573490,7655307536591486976,600
1950,1766043,7655307536617701376,600
1930,1743599,7655307536612458496,600
1420,697000,7655307532183797761,600
1930,1740335,7655307536612458496,600
2210,2002816,7657916720728244224,600
1620,1049804,7655307536531193856,600
1460,734310,7655307532194283520,600
1590,940540,7655307536523329536,600
1390,650824,7655307532175933440,600
1920,1709120,7655307536609837056,600
1840,1566382,7655307536588865536,600
1590,939101,7655307536523329536,600
2000,1820243,7657916720673193984,600
1990,1797237,7657916720670572544,600
1610,992323,7655307536528572416,600
1970,1778144,7655307536622944256,600
1910,1665695,7655307536607215616,600
1900,1663420,7655307536604594176,600
1940,1751319,7655307536615079936,600
1510,736498,7655307532207390822,600
1940,1753823,7655307536615079936,600
1510,769912,7655307532207390822,600
1950,1759344,7655307536617701376,600
2050,1844461,7657916720686301184,600
1420,697083,7655307532183797761,600
1910,1700561,7655307536607215616,600
1590,922637,7655307536523329536,600
1600,974697,7655307536525950976,600
1590,1872561,7655307536523329536,600
1510,769774,7655307532207390822,600
1390,634383,7655307532175933440,600
1910,1687179,7655307536607215616,600
1460,735639,7655307532194283520,600
1770,1445542,7655307536570515456,600
1680,1411470,7655307536546922496,600
1510,762870,7655307532207390822,600
1630,1081138,7655307536533815297,600
1850,1575442,7655307536591486976,600
1900,1659740,7655307536604594176,600
1440,1390714,7655307532189040640,600
1720,1381612,7655307536557408256,600
1630,1097947,7655307536533815297,600
1610,995698,7655307536528572416,600
1930,1732863,7655307536612458496,600
1510,740548,7655307532207390822,600
2170,1976861,7657916720717758467,600
2140,1948892,7657916720709894146,600
1930,1738506,7655307536612458496,600
1950,1765805,7655307536617701376,600
1900,1650122,7655307536604594176,600
1170,96505,7655307532118261760,600
1910,1679250,7655307536607215616,600
2020,1822069,7657916720678436864,600
2160,1967066,7657916720715137026,600
2220,2016741,7657916720730865664,600
1580,880231,7655307536520708096,600
1620,1024090,7655307536531193856,600
1950,1764324,7655307536617701376,600
1390,644917,7655307532175933440,600
1610,1017215,7655307536528572416,600
1540,800494,7655307532215255040,600
1960,1771098,7655307536620322816,600
1930,1727343,7655307536612458496,600
1940,1751799,7655307536615079936,600
1570,843718,7655307536518086656,600
1620,1037100,7655307536531193856,600
2170,1964436,7657916720717758467,600
1630,1094031,7655307536533815297,600
1590,907305,7655307536523329536,600
1940,1753468,7655307536615079936,600
1910,1666378,7655307536607215616,600
1980,1788630,7657916720667951104,600
2240,2049513,7657916720736108546,600
2090,1885027,7657916720696786944,600
1700,1346439,7655307536552165376,600
2230,2023514,7657916720733487104,600
2180,1993558,7657916720720379904,600
1540,798477,7655307532215255040,600
1510,760936,7655307532207390822,600
2020,1830061,7657916720678436864,600
1990,1798927,7657916720670572544,600
1910,1689054,7655307536607215616,600
2080,1879062,7657916720694165505,600
2030,1836992,7657916720681058304,600
1910,1680680,7655307536607215616,600
1970,1776670,7655307536622944256,600
